Date,Open,High,Low,Close
2025-11-17 14:30:00+00:00,669.0,671.1400146484375,668.9500122070312,671.1400146484375
2025-11-17 14:35:00+00:00,671.1400146484375,672.64501953125,671.0800170898438,672.6199951171875
2025-11-17 14:40:00+00:00,672.6099853515625,672.6699829101562,671.6699829101562,671.9849853515625
2025-11-17 14:45:00+00:00,671.989990234375,673.1300048828125,671.8400268554688,672.780029296875
2025-11-17 14:50:00+00:00,672.7999877929688,673.6699829101562,672.7999877929688,673.5
2025-11-17 14:55:00+00:00,673.5,673.7100219726562,672.5700073242188,672.760009765625
2025-11-17 15:00:00+00:00,672.760009765625,673.1500244140625,671.3900146484375,671.5599975585938
2025-11-17 15:05:00+00:00,671.5499877929688,672.25,670.469970703125,670.875
2025-11-17 15:10:00+00:00,670.8900146484375,672.0250244140625,670.8200073242188,671.739990234375
2025-11-17 15:15:00+00:00,671.739990234375,672.1300048828125,670.5999755859375,670.7625732421875
2025-11-17 15:20:00+00:00,670.760009765625,671.8499755859375,670.5499877929688,671.3300170898438
2025-11-17 15:25:00+00:00,671.3300170898438,672.3200073242188,670.8300170898438,672.0599975585938
2025-11-17 15:30:00+00:00,672.0399780273438,672.3699951171875,670.4299926757812,670.97998046875
2025-11-17 15:35:00+00:00,670.969970703125,671.47998046875,670.5,670.5900268554688
2025-11-17 15:40:00+00:00,670.5900268554688,671.7100219726562,670.1400146484375,671.7000122070312
2025-11-17 15:45:00+00:00,671.6900024414062,672.0900268554688,670.8699951171875,671.14501953125
2025-11-17 15:50:00+00:00,671.1799926757812,671.4600219726562,670.6199951171875,671.1599731445312
2025-11-17 15:55:00+00:00,671.1599731445312,671.47998046875,670.3300170898438,670.7050170898438
2025-11-17 16:00:00+00:00,670.7050170898438,670.97998046875,669.760009765625,670.27001953125
2025-11-17 16:05:00+00:00,670.280029296875,670.3499755859375,668.9000244140625,669.2349853515625
2025-11-17 16:10:00+00:00,669.22998046875,669.5700073242188,668.5250244140625,668.6699829101562
2025-11-17 16:15:00+00:00,668.6699829101562,668.6699829101562,667.77001953125,668.094970703125
2025-11-17 16:20:00+00:00,668.0999755859375,668.7365112304688,667.8150024414062,668.5999755859375
2025-11-17 16:25:00+00:00,668.6099853515625,670.530029296875,668.2999877929688,670.4749755859375
2025-11-17 16:30:00+00:00,670.47998046875,671.27001953125,670.3720092773438,670.8400268554688
2025-11-17 16:35:00+00:00,670.8499755859375,671.3699951171875,670.469970703125,671.25
2025-11-17 16:40:00+00:00,671.239990234375,672.0800170898438,671.1900024414062,671.719970703125
